dataset,mem_mode,w_mode,run,acc_aupr_opt_thr,acc_auroc_opt_thr,ap,ap_inherent,au_pr_score,au_roc_score,auc_inherent,f1_aupr_opt_thr,f1_auroc_opt_thr,opt_thr_au_pr,opt_thr_au_roc,prec_aupr_opt_thr,prec_auroc_opt_thr,rec_aupr_opt_thr,rec_auroc_opt_thr
CanParl,freq_weight,fixed,0,0.5025490196078432,0.5347058823529411,0.6493302603950499,0.6493302603950499,0.478686798720331,0.6182504295214052,0.6182504295214052,0.047873000041100455,0.12458537541678476,1.1489622503660213,,0.23583368012253175,0.6389572258186832,0.03833333333333334,0.09235294117647061
CanParl,repeat_freq,fixed,0,0.524264705882353,0.5,0.6078033456996143,0.6078033456996143,0.5295731856065377,0.6037254901960785,0.6037254901960785,0.09808081044745649,0.0,0.7058823529411765,,0.9104336240933023,1.0,0.06895974318931113,0.0
CanParl,time_window,avg_reoccur,0,0.5,0.5,0.5,0.5,0.3088235294117647,0.4826470588235294,0.4826470588235294,0.0,0.0,0.8823529411764706,,1.0,1.0,0.0,0.0
CanParl,time_window,fixed,0,0.5104901960784314,0.5,0.6443279027445579,0.6443279027445579,0.5803964273423341,0.6382309560992538,0.6382309560992538,0.06014535857624815,0.0,0.803921568627451,,0.9032098757376051,1.0,0.04607843137254903,0.0
CanParl,unlim_mem,fixed,0,0.4882947249696339,0.5,0.6031255038492158,0.6031255038492158,0.5973978713597874,0.5984908034010065,0.5984908034010065,0.10344461702479679,0.0,0.5882352941176471,,0.7414892628408525,1.0,0.08180288044421309,0.0
CanParl,window_freq_weight,avg_reoccur,0,0.5,0.5,0.5,0.5,0.3088235294117647,0.4826470588235294,0.4826470588235294,0.0,0.0,0.6116004534352457,,1.0,1.0,0.0,0.0
CanParl,window_freq_weight,fixed,0,0.4985897102203714,0.5017156862745098,0.663251827582918,0.663251827582918,0.43005881604970636,0.6451983580600381,0.6451983580600381,0.01798149661970441,0.012605042016806723,0.9121584150080797,,0.6048052528231557,0.6062091503267973,0.012058823529411764,0.009705882352941177
Contacts,freq_weight,fixed,0,0.9014780709791704,0.9040935190275488,0.939533302922146,0.939533302922146,0.9438147198406778,0.9501436772511012,0.9501436772511012,0.8981956401120682,0.904588838496211,1.9287643604215303,2.0558027273755837,0.8930124955516457,0.8984521605850134,0.915056196933602,0.9122359660375052
Contacts,repeat_freq,fixed,0,0.5257669048927982,0.5,0.8204808321198416,0.8204808321198416,0.9000448705599197,0.8413012338891943,0.8413012338891943,0.07968583485625232,0.0,0.8576140736668499,1.0,0.9851407356841833,1.0,0.05829576690489279,0.0
Contacts,time_window,avg_reoccur,0,0.5003312259483232,0.5,0.9258714731445612,0.9258714731445612,0.9613199771213812,0.9434564168346465,0.9434564168346465,0.0009532642840168585,0.0,0.9983507421660253,1.0,0.9999611939333183,1.0,0.0006789444749862561,0.0
Contacts,time_window,fixed,0,0.5,0.5,0.8927441076492351,0.8927441076492351,0.9438458720852085,0.928385712540468,0.928385712540468,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Contacts,unlim_mem,fixed,0,0.5,0.5,0.798365102473489,0.798365102473489,0.8967170200998102,0.8688299431922302,0.8688299431922302,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Contacts,window_freq_weight,avg_reoccur,0,0.91773165964205,0.9225062610714067,0.9432762016793104,0.9432762016793104,0.9603604006234047,0.9510507467472971,0.9510507467472971,0.9021214883335131,0.9129581855027314,0.8675596229395696,0.855181072515949,0.9692218451426095,0.9694953977325966,0.8623938672042025,0.8721492272921628
