,dataset,mem_mode,w_mode,run_mean,run_std,acc_aupr_opt_thr_mean,acc_aupr_opt_thr_std,acc_auroc_opt_thr_mean,acc_auroc_opt_thr_std,ap_mean,ap_std,ap_inherent_mean,ap_inherent_std,au_pr_score_mean,au_pr_score_std,au_roc_score_mean,au_roc_score_std,auc_inherent_mean,auc_inherent_std,f1_aupr_opt_thr_mean,f1_aupr_opt_thr_std,f1_auroc_opt_thr_mean,f1_auroc_opt_thr_std,opt_thr_au_pr_mean,opt_thr_au_pr_std,opt_thr_au_roc_mean,opt_thr_au_roc_std,prec_aupr_opt_thr_mean,prec_aupr_opt_thr_std,prec_auroc_opt_thr_mean,prec_auroc_opt_thr_std,rec_aupr_opt_thr_mean,rec_aupr_opt_thr_std,rec_auroc_opt_thr_mean,rec_auroc_opt_thr_std
0,CanParl,freq_weight,fixed,0.0,,0.5025,,0.5347,,0.6493,,0.6493,,0.4787,,0.6183,,0.6183,,0.0479,,0.1246,,1.149,,,,0.2358,,0.639,,0.0383,,0.0924,
1,CanParl,repeat_freq,fixed,0.0,,0.5243,,0.5,,0.6078,,0.6078,,0.5296,,0.6037,,0.6037,,0.0981,,0.0,,0.7059,,,,0.9104,,1.0,,0.069,,0.0,
2,CanParl,time_window,avg_reoccur,0.0,,0.5,,0.5,,0.5,,0.5,,0.3088,,0.4826,,0.4826,,0.0,,0.0,,0.8824,,,,1.0,,1.0,,0.0,,0.0,
3,CanParl,time_window,fixed,0.0,,0.5105,,0.5,,0.6443,,0.6443,,0.5804,,0.6382,,0.6382,,0.0601,,0.0,,0.8039,,,,0.9032,,1.0,,0.0461,,0.0,
4,CanParl,unlim_mem,fixed,0.0,,0.4883,,0.5,,0.6031,,0.6031,,0.5974,,0.5985,,0.5985,,0.1034,,0.0,,0.5882,,,,0.7415,,1.0,,0.0818,,0.0,
5,CanParl,window_freq_weight,avg_reoccur,0.0,,0.5,,0.5,,0.5,,0.5,,0.3088,,0.4826,,0.4826,,0.0,,0.0,,0.6116,,,,1.0,,1.0,,0.0,,0.0,
6,CanParl,window_freq_weight,fixed,0.0,,0.4986,,0.5017,,0.6633,,0.6633,,0.4301,,0.6452,,0.6452,,0.018,,0.0126,,0.9122,,,,0.6048,,0.6062,,0.0121,,0.0097,
7,Contacts,freq_weight,fixed,0.0,,0.9015,,0.9041,,0.9395,,0.9395,,0.9438,,0.9501,,0.9501,,0.8982,,0.9046,,1.9288,,2.0558,,0.893,,0.8985,,0.9151,,0.9122,
8,Contacts,repeat_freq,fixed,0.0,,0.5258,,0.5,,0.8205,,0.8205,,0.9,,0.8413,,0.8413,,0.0797,,0.0,,0.8576,,1.0,,0.9851,,1.0,,0.0583,,0.0,
9,Contacts,time_window,avg_reoccur,0.0,,0.5003,,0.5,,0.9259,,0.9259,,0.9613,,0.9435,,0.9435,,0.001,,0.0,,0.9984,,1.0,,1.0,,1.0,,0.0007,,0.0,
10,Contacts,time_window,fixed,0.0,,0.5,,0.5,,0.8927,,0.8927,,0.9438,,0.9284,,0.9284,,0.0,,0.0,,1.0,,1.0,,1.0,,1.0,,0.0,,0.0,
11,Contacts,unlim_mem,fixed,0.0,,0.5,,0.5,,0.7984,,0.7984,,0.8967,,0.8688,,0.8688,,0.0,,0.0,,1.0,,1.0,,1.0,,1.0,,0.0,,0.0,
12,Contacts,window_freq_weight,avg_reoccur,0.0,,0.9177,,0.9225,,0.9433,,0.9433,,0.9604,,0.9511,,0.9511,,0.9021,,0.913,,0.8676,,0.8552,,0.9692,,0.9695,,0.8624,,0.8721,
13,Contacts,window_freq_weight,fixed,0.0,,0.9194,,0.9206,,0.9419,,0.9419,,0.9538,,0.9515,,0.9515,,0.9121,,0.9159,,1.1102,,1.1487,,0.9446,,0.9452,,0.8909,,0.8924,
14,SocialEvo,freq_weight,fixed,0.0,,0.8031,,0.8253,,0.8548,,0.8548,,0.8529,,0.8828,,0.8828,,0.7831,,0.8303,,6.1193,,6.2333,,0.7908,,0.8055,,0.8428,,0.861,
15,SocialEvo,repeat_freq,fixed,0.0,,0.5023,,0.5,,0.7504,,0.7504,,0.8604,,0.8167,,0.8167,,0.0087,,0.0,,0.986,,1.0,,0.996,,1.0,,0.0078,,0.0,
16,SocialEvo,time_window,avg_reoccur,0.0,,0.5,,0.5,,0.6826,,0.6826,,0.84,,0.7646,,0.7646,,0.0,,0.0,,1.0,,1.0,,1.0,,1.0,,0.0,,0.0,
17,SocialEvo,time_window,fixed,0.0,,0.5,,0.5,,0.6108,,0.6108,,0.8049,,0.6808,,0.6808,,0.0,,0.0,,1.0,,1.0,,1.0,,1.0,,0.0,,0.0,
18,SocialEvo,unlim_mem,fixed,0.0,,0.5,,0.5,,0.5206,,0.5206,,0.7602,,0.5394,,0.5394,,0.0,,0.0,,1.0,,1.0,,1.0,,1.0,,0.0,,0.0,
19,SocialEvo,window_freq_weight,avg_reoccur,0.0,,0.8542,,0.8642,,0.8859,,0.8859,,0.8862,,0.9167,,0.9167,,0.8484,,0.8694,,3.2552,,3.4499,,0.826,,0.8386,,0.9023,,0.9055,
